"PI_names","num_publication"
"DELISI, LYNN","32"
"AIROLDI, EDOARDO","24"
"LIN, XIHONG","96"
"MANGO, SUSAN","8"
"SILVER, PAMELA","154"
"WALKER, SUZANNE","78"
"BETANCOURT, THERESA","70"
"WESSLING-RESNICK, MARIANNE","54"
"DULAC, CATHERINE","30"
"ASCHERIO, ALBERTO","166"
"NADLER, LEE","28"
"BERKMAN, LISA","91"
"PRICE, ALKES","68"
"KARPLUS, MARTIN","57"
"HAIGIS, MARCIA","40"
"TRITSCH, NICOLAS","6"
"LINDSTROEM, SARA","0"
"MERKLE, FLORIAN","9"
"SEO, YOUNG","6"
"KRUKENBERG, KRISTIN","5"
"SUBRAMANIAM, ARVIND","3"
"RAJAN, AKHILA","4"
"NABAVI, SHEIDA","3"
"MAROOF, ASIF","4"
"ESVELT, KEVIN","18"
"SANKARARAMAN, SRIRAM","14"
"PANDE, ROHINI","0"
"LIVINGSTONE, MARGARET","42"
"HOGGATT, JONATHAN","10"
"SAMUEL, MELANIE","3"
"MOSALIGANTI, KISHORE","8"
"GOODRICH, LISA","23"
"MELTON, DOUGLAS","70"
"SINGH, GITANJALI","20"
"CLAUS HENN, BIRGIT","6"
"MURANEN, TARU","18"
"YOUNG, SIMON","1"
"THOMAS, SHEILA","10"
"CABAN-MARTINEZ, ALBERTO","18"
"PAULI, ANDREA","10"
"GIRE, DAVID","4"
"PETERSON, TIMOTHY","1"
"BANGHART, MATTHEW","5"
"PATEL, CHIRAG","24"
"KELLEY, DAVID","5"
"PALACIOS, NATALIA","9"
"GOLDSTEIN, EDWARD","23"
"PAULO, JOAO","52"
"NGUYEN, ANDREW","3"
"WARNER, ERICA","15"
"FISHER, HEIDI","5"
"MATTEI, JOSIEMER","27"
"BONDS, MATTHEW","9"
"SHARPE, ARLENE","118"
"GRANDJEAN, PHILIPPE","79"
"KAESER, PASCAL","7"
"KHARCHENKO, PETER","38"
"YEH, JENNIFER","22"
"BLOOM, DAVID","48"
"WARE, NORMA","29"
"FORTIER, CATHERINE","12"
"CAI, TIANXI","79"
"CORNELIS, MARILYN","44"
"LEE, WEI-CHUNG","3"
"SCHACTER, DANIEL","120"
"LAHAV, GALIT","29"
"KRIEGER, NANCY","92"
"KEATING, NANCY","149"
"BUCKEE, CAROLINE","31"
"MARTI, MATTHIAS","28"
"HERRICK, ROBERT","39"
"WEITZ, DAVID","218"
"NIZNIKIEWICZ, MARGARET","61"
"PERRIMON, NORBERT","178"
"ARTAVANIS-TSAKONAS, SPYRIDON","0"
"HIGGINS, DARREN","32"
"LAMONT, ELIZABETH","23"
"IRIZARRY, RAFAEL","16"
"ROSEN, VICKI","33"
"DONG, MIN","7"
"HOWLEY, PETER","41"
"HARWELL, COREY","2"
"GOOD, BYRON","8"
"COEN, DONALD","83"
"HAUSER, RUSS","150"
"BERNHARDT, THOMAS","29"
"HOWE, ROBERT","55"
"SOMERVILLE, LEAH","17"
"ZANOBETTI, ANTONELLA","93"
"VANDERWEELE, TYLER","141"
"HSU, YA-CHIEH","6"
"INTINI, GIUSEPPE","11"
"TONELLATO, PETER","12"
"MANNING, BRENDAN","58"
"WALTER, JOHANNES","58"
"ROWE, MEREDITH","13"
"YUAN, ZHI-MIN","27"
"DYMECKI, SUSAN","30"
"TESTA, MARCIA","24"
"KOBZIK, LESTER","71"
"TCHETGEN TCHETGEN, ERIC","67"
"ENGERT, FLORIAN","33"
"WHITMAN, MALCOLM","20"
"HARPER, JEFFREY","0"
"KIM, JANE","70"
"MOONEY, DAVID","178"
"MUSUNURU, KIRAN","29"
"EXTAVOUR, CASSANDRA","40"
"BETLEY, THEODORE","25"
"DENIC, VLADIMIR","11"
"ZHUANG, XIAOWEI","80"
"EGGAN, KEVIN","65"
"TABIN, CLIFFORD","90"
"WILSON, KATHRYN","38"
"MEISSNER, ALEXANDER","67"
"MITCHELL, JAMES","41"
"PAULSSON, JOHAN","24"
"SALIC, ADRIAN","19"
"ROWLEY, CHRISTOPHER","6"
"LESCHZINER, ANDRES","9"
"DESAI, MICHAEL","31"
"SHAKHNOVICH, EUGENE","115"
"KALINCHUK, ANNA","7"
"AHMAD, KAMRAN","0"
"COLAIACOVO, MONICA","36"
"MOAZED, DANESH","59"
"LOK, JUDITH","9"
"RITTER, TOBIAS","55"
"GARRETT, WENDY","48"
"LIU, DAVID","124"
"FONTANA, WALTER","11"
"WAGERS, AMY","80"
"KISHONY, ROY","52"
"MAIR, WILLIAM","13"
"KRUPAT, EDWARD","30"
"WAGNER, GERHARD","158"
"BIEWENER, ANDREW","50"
"HARTL, DANIEL","127"
"KRAVITZ, EDWARD","28"
"BENDER, WELCOME","6"
"SLIZ, PIOTR","32"
"SMITH, MAURICE","17"
"YUAN, JUNYING","76"
"COREY, DAVID","46"
"MEKALANOS, JOHN","71"
"WILSON, RACHEL","40"
"FAWZI, WAFAIE","211"
"YAO, WEI-DONG","18"
"SCHIER, ALEXANDER","60"
"LEE, CHIH-HAO","34"
"SACKS, FRANK","113"
"DATTA, SANDEEP","12"
"RUDNER, DAVID","46"
"LASSAR, ANDREW","25"
