"","uniquePI","numpub"
"1","AHMAD, KAMRAN","0"
"2","AIROLDI, EDOARDO","24"
"3","ARLOTTA, PAOLA","43"
"4","ARTAVANIS-TSAKONAS, SPYRIDON","0"
"5","ASCHERIO, ALBERTO","166"
"6","ASSAD, JOHN","24"
"7","BACCARELLI, ANDREA","151"
"8","BANGHART, MATTHEW","5"
"9","BARON, ROLAND","58"
"10","BENDER, WELCOME","6"
"11","BENOIST, CHRISTOPHE","142"
"12","BERKMAN, LISA","92"
"13","BERNHARDT, THOMAS","29"
"14","BETANCOURT, THERESA","70"
"15","BETLEY, THEODORE","25"
"16","BIEWENER, ANDREW","50"
"17","BLACKLOW, STEPHEN","59"
"18","BLOOM, DAVID","48"
"19","BONDS, MATTHEW","9"
"20","BORN, RICHARD","27"
"21","BOYD, DANA","25"
"22","BRUGGE, JOAN","78"
"23","BUCKEE, CAROLINE","31"
"24","BURATOWSKI, STEPHEN","54"
"25","CABAN-MARTINEZ, ALBERTO","18"
"26","CAI, TIANXI","79"
"27","CALARCO, JOHN","11"
"28","CANNING, DAVID","34"
"29","CATTERUCCIA, FLAMINIA","16"
"30","CEPKO, CONSTANCE","76"
"31","CHOU, JAMES","48"
"32","CHRISTIANI, DAVID","335"
"33","CHURCH, GEORGE","223"
"34","CHURCHMAN, LEE","0"
"35","CLARDY, JON","138"
"36","CLAUS HENN, BIRGIT","3465"
"37","COEN, DONALD","83"
"38","COLAIACOVO, MONICA","36"
"39","COREY, DAVID","46"
"40","CORNELIS, MARILYN","49"
"41","COWAN, CHAD","41"
"42","DATTA, SANDEEP","12"
"43","DAVAASAMBUU, GANMAA","11"
"44","DELISI, LYNN","38"
"45","DENIC, VLADIMIR","11"
"46","DESAI, MICHAEL","31"
"47","DOCKERY, DOUGLAS","49"
"48","DONG, MIN","7"
"49","DORF, MARTIN","19"
"50","DULAC, CATHERINE","31"
"51","DURAISINGH, MANOJ","64"
"52","DYMECKI, SUSAN","30"
"53","EGGAN, KEVIN","66"
"54","ENGERT, FLORIAN","33"
"55","ESSEX, MYRON","9"
"56","ESVELT, KEVIN","18"
"57","EXTAVOUR, CASSANDRA","41"
"58","EYAL, NIR","21"
"59","FARESE, ROBERT","16"
"60","FAWZI, WAFAIE","211"
"61","FINLEY, DANIEL","50"
"62","FISHER, HEIDI","5"
"63","FLANAGAN, JOHN","20"
"64","FONTANA, WALTER","11"
